stream,binsize,estimatedrate,measuredrate,binsizeindays,particlesperbin,estimatedvsingested,dataratenotes
adcp_ancillary_system_data,20160,,,14,0,,No good data from ingested sample
adcp_compass_calibration,20160,2,,14,28,,No good data from ingested sample
adcp_pd0_beam_parsed,60,,107000,0.0417,"107,000",,Sample data 21k-107k per day
adcp_pd0_earth_parsed,1440,,,1,0,,No ingested data
adcp_pd12_parsed,1440,,,1,0,,No ingested data
adcp_system_configuration,20160,2,,14,28,,No ingested data
adcp_transmit_path,20160,,,14,0,,No good data from ingested sample
adcp_waves_parsed,1440,,,1,0,,No ingested data
adcpa_m_glider_instrument,1440,86400,,1,"86,400",,No ingested data
adcpa_m_glider_recovered,1440,86400,5300,1,"86,400",Conflict,Sample data 120-5300 per day
adcpa_n_auv_instrument,1440,,,1,0,,No ingested data
adcpa_n_instrument,1440,,,1,0,,No ingested data
adcps_jln_beam_instrument,1440,,,1,0,,No ingested data
adcps_jln_instrument,20160,,23,14,322,,Sample data 23 per day
adcps_jln_sio_mule_instrument,1440,86400,10,1,"86,400",Conflict,Sample data 6-10 per day
adcps_jln_stc_instrument,20160,,100,14,"1,400",,Sample data 14-100 per day
adcps_jln_stc_instrument_recovered,20160,24,,14,336,,No ingested data
adcps_jln_stc_metadata,20160,,20,14,280,,Sample data 2-20 per day
adcps_jln_stc_metadata_recovered,20160,,,14,0,,No ingested data
adcps_parsed,1440,,,1,0,,No ingested data
adcpt_acfgm_dcl_instrument,1440,,,1,0,,No ingested data
adcpt_acfgm_dcl_instrument_recovered,1440,,,1,0,,No ingested data
adcpt_acfgm_pd0_beam_dcl_instrument,1440,,,1,0,,No ingested data
adcpt_acfgm_pd0_beam_dcl_instrument_recovered,1440,,,1,0,,No ingested data
adcpt_acfgm_pd0_dcl_instrument,20160,8,100,14,"1,400",,Sample data 2-100 per day
adcpt_acfgm_pd0_dcl_instrument_recovered,20160,8,,14,112,,No ingested data
adcpt_acfgm_pd8_dcl_instrument,20160,24,2,14,336,,Sample data 2 per day
adcpt_acfgm_pd8_dcl_instrument_recovered,20160,24,,14,336,,No ingested data
adcpt_m_instrument_dspec_recovered,1440,,,1,0,,No ingested data
adcpt_m_instrument_fcoeff_recovered,1440,,,1,0,,No ingested data
adcpt_m_instrument_log9_recovered,1440,,,1,0,,No ingested data
adcpt_m_wvs_recovered,1440,,,1,0,,No ingested data
auv_eng_auv_digital_tx_board,1440,,,1,0,,No ingested data
auv_eng_auv_digital_tx_board_recovered,1440,,,1,0,,No ingested data
auv_eng_auv_digital_usbl,1440,,,1,0,,No ingested data
auv_eng_auv_digital_usbl_recovered,1440,,,1,0,,No ingested data
auv_eng_auv_emergency_board,1440,,,1,0,,No ingested data
auv_eng_auv_emergency_board_recovered,1440,,,1,0,,No ingested data
auv_eng_auv_fault_message,1440,,,1,0,,No ingested data
auv_eng_auv_fault_message_recovered,1440,,,1,0,,No ingested data
auv_eng_auv_imagenex_852,1440,,,1,0,,No ingested data
auv_eng_auv_imagenex_852_recovered,180,,,0.125,0,,No ingested data
auv_eng_auv_oil_compensator,1440,,,1,0,,No ingested data
auv_eng_auv_oil_compensator_recovered,1440,,,1,0,,No ingested data
auv_eng_auv_smart_battery,1440,,,1,0,,No ingested data
auv_eng_auv_smart_battery_recovered,1440,,,1,0,,No ingested data
auv_eng_auv_state,1440,,,1,0,,No ingested data
auv_eng_auv_state_recovered,180,,,0.125,0,,No ingested data
auv_eng_auv_tri_fin_motor,1440,,,1,0,,No ingested data
auv_eng_auv_tri_fin_motor_recovered,360,,,0.25,0,,No ingested data
botpt_heat_sample,2880,28800,27000,2,"86,400",,Sample data 24k-27k per day
botpt_iris_sample,720,86400,70000,0.5,"86,400",,Sample data 60k-70k per day
botpt_lily_leveling,20160,24,580000,14,"8,120,000",Conflict,Sample data 580k per day
botpt_lily_sample,720,86400,75000,0.5,"86,400",,Sample data 65k-75k per day
botpt_nano_sample,60,864000,1500000,0.0417,"187,500",Conflict,Sample data 1300k -1500k per day
botpt_nano_sample_15sec,80640,,,,,,
botpt_nano_sample_24hour,525600,,,,,,
botpt_status,20160,2,,14,28,,No ingested data
calibration_status,4320,,15000,3,"105,000",,Sample data 5k-15k per day
camds_disk_status,20160,2,,14,28,,No ingested data
camds_health_status,20160,2,,14,28,,No ingested data
camds_image_metadata,20160,60,1200,14,"16,800","Conflict, but both numbers are low",Sample data 1200 per day
camhd_adread_status,1440,,,1,0,,No ingested data
camhd_streaming_status,1440,,,1,0,,No ingested data
cg_cpm_eng_cpm,20160,,16,14,224,Suspect,Sample data 1-16 per day
cg_cpm_eng_cpm_recovered,20160,,8,14,112,Suspect,Sample data 8 per day
cg_dcl_eng_dcl_cpu_uptime,20160,,275,14,"3,850",,Sample data 1-275 per day
cg_dcl_eng_dcl_cpu_uptime_recovered,20160,,30,14,420,,Sample data 17-30 per day
cg_dcl_eng_dcl_dlog_aarm,20160,,106,14,"1,484",,Sample data 2-106 per day
cg_dcl_eng_dcl_dlog_aarm_recovered,20160,,14,14,196,,Sample data 14 per day
cg_dcl_eng_dcl_dlog_mgr,20160,,280,14,"3,920",,Sample data 1-280 per day
cg_dcl_eng_dcl_dlog_mgr_recovered,20160,,30,14,420,,Sample data 17-30 per day
cg_dcl_eng_dcl_dlog_status,20160,,1500,14,"21,000",,Sample data 4-1500 per day
cg_dcl_eng_dcl_dlog_status_recovered,20160,,141,14,"1,974",,Sample data 43-141 per day
cg_dcl_eng_dcl_error,20160,,230,14,"3,220",,Sample data 1-230 per day
cg_dcl_eng_dcl_error_recovered,20160,,110,14,"1,540",,Sample data 22-110 per day
cg_dcl_eng_dcl_gps,20160,,300,14,"4,200",,Sample data 2-300 per day
cg_dcl_eng_dcl_gps_recovered,20160,,30,14,420,,Sample data 17-30 per day
cg_dcl_eng_dcl_msg_counts,20160,,290,14,"4,060",,Sample data 1-290 per day
cg_dcl_eng_dcl_msg_counts_recovered,20160,,30,14,420,,Sample data 17-30 per day
cg_dcl_eng_dcl_pps,20160,,290,14,"4,060",,Sample data 1-290 per day
cg_dcl_eng_dcl_pps_recovered,20160,,30,14,420,,Sample data 17-30 per day
cg_dcl_eng_dcl_status,20160,,280,14,"3,920",,Sample data 1-280 per day
cg_dcl_eng_dcl_status_recovered,20160,,30,14,420,,Sample data 17-30 per day
cg_dcl_eng_dcl_superv,20160,,800,14,"11,200",,Sample data 1-800 per day
cg_dcl_eng_dcl_superv_recovered,20160,,90,14,"1,260",,Sample data 18-90 per day
cg_stc_eng_stc,20160,,18,14,252,,Sample data 3-18 per day
cg_stc_eng_stc_recovered,20160,,30,14,420,,Sample data 2-30 per day
